import time: self [us] | cumulative | imported package
import time:        67 |         67 |                         winreg
import time:       297 |        433 |                       mimetypes
import time:       112 |        112 |                         IPython.testing
import time:       169 |        281 |                       IPython.testing.skipdoctest
import time:       596 |       1310 |                     IPython.core.display
import time:       106 |        106 |                       IPython.lib
import time:       545 |        650 |                     IPython.lib.display
import time:       155 |       2255 |                   IPython.display
import time:       127 |        127 |                   IPython.utils.data
import time:       458 |       2838 |                 IPython.core.page
import time:       551 |        551 |                 IPython.lib.pretty
import time:       362 |        362 |                 IPython.utils.openpy
import time:       122 |        122 |                 IPython.utils.dir2
import time:       161 |        161 |                 IPython.utils.wildcard
import time:      1469 |       1469 |                   pygments.lexers._mapping
import time:       353 |        353 |                   pygments.modeline
import time:       267 |       2087 |                 pygments.lexers
import time:       168 |        168 |                     pygments.filter
import time:       587 |        587 |                     pygments.filters
import time:       217 |        217 |                     pygments.regexopt
import time:       768 |       1739 |                   pygments.lexer
import time:       506 |        506 |                   pygments.unistring
import time:      1101 |       3344 |                 pygments.lexers.python
import time:        81 |         81 |                   ctags
import time:       414 |        495 |                 pygments.formatters.html
import time:      2520 |      12476 |               IPython.core.oinspect
import time:       458 |        458 |                 IPython.utils.tokenutil
import time:      1449 |       1906 |               IPython.core.inputtransformer2
import time:       187 |        187 |               IPython.utils.ipstruct
import time:       916 |      15654 |             IPython.core.magic
import time:       114 |        114 |               runpy
import time:       126 |        126 |                 IPython.external
import time:        73 |         73 |                 cPickle
import time:       311 |        509 |               IPython.external.pickleshare
import time:       188 |        188 |               IPython.core.hooks
import time:       166 |        166 |                 IPython.core.autocall
import time:       260 |        260 |                 IPython.core.macro
import time:       454 |        454 |                 IPython.core.splitinput
import time:      2590 |       3469 |               IPython.core.prefilter
import time:       592 |        592 |               IPython.core.alias
import time:       288 |        288 |               IPython.core.builtin_trap
import time:       546 |        546 |                   decorator
import time:       751 |        751 |                       _sqlite3
import time:       289 |       1040 |                     sqlite3.dbapi2
import time:       182 |       1221 |                   sqlite3
import time:      2708 |       4474 |                 IPython.core.history
import time:       442 |       4916 |               IPython.core.displayhook
import time:       447 |        447 |               IPython.core.displaypub
import time:       199 |        199 |               IPython.core.events
import time:       300 |        300 |               IPython.core.extensions
import time:       123 |        123 |                 IPython.utils.sentinel
import time:      2879 |       3002 |               IPython.core.formatters
import time:       239 |        239 |               IPython.core.logger
import time:       261 |        261 |               IPython.core.payload
import time:       169 |        169 |               IPython.core.tips
import time:       120 |        120 |               IPython.core.usage
import time:      1150 |       1150 |                 IPython.utils.capture
import time:       164 |       1313 |               IPython.utils.io
import time:       140 |        140 |               IPython.utils.strdispatch
import time:       125 |        125 |               IPython.utils.syspathcontext
import time:        80 |         80 |                 docrepr
import time:        37 |        116 |               docrepr.sphinxify
import time:       147 |        147 |                       concurrent
import time:       649 |        649 |                       concurrent.futures._base
import time:       200 |        995 |                     concurrent.futures
import time:      1402 |       1402 |                       _ssl
import time:      2506 |       3908 |                     ssl
import time:       342 |        342 |                     asyncio.constants
import time:       152 |        152 |                     asyncio.coroutines
import time:       203 |        203 |                         _contextvars
import time:       147 |        349 |                       contextvars
import time:       184 |        184 |                       asyncio.format_helpers
import time:       186 |        186 |                         asyncio.base_futures
import time:       261 |        261 |                         asyncio.exceptions
import time:       157 |        157 |                         asyncio.base_tasks
import time:       572 |       1175 |                       _asyncio
import time:       548 |       2254 |                     asyncio.events
import time:       278 |        278 |                     asyncio.futures
import time:       210 |        210 |                     asyncio.protocols
import time:       330 |        330 |                       asyncio.transports
import time:       126 |        126 |                       asyncio.log
import time:       765 |       1221 |                     asyncio.sslproto
import time:       133 |        133 |                         asyncio.mixins
import time:       497 |        630 |                       asyncio.locks
import time:       436 |        436 |                         asyncio.timeouts
import time:       451 |        887 |                       asyncio.tasks
import time:       307 |       1823 |                     asyncio.staggered
import time:       159 |        159 |                     asyncio.trsock
import time:      1103 |      12439 |                   asyncio.base_events
import time:       342 |        342 |                   asyncio.runners
import time:       292 |        292 |                   asyncio.queues
import time:       378 |        378 |                   asyncio.streams
import time:       265 |        265 |                   asyncio.subprocess
import time:       177 |        177 |                   asyncio.taskgroups
import time:       103 |        103 |                   asyncio.threads
import time:       276 |        276 |                     asyncio.base_subprocess
